lat,lon,populacija,kategorija,boja,tip_punjaca
25.20416690185,51.58749907365003,250.22409057617188,2,blue,DC
25.412500234350002,51.46249907415003,248.09262084960938,1,red,AC nivo 2
25.387500234450002,51.37083240785003,248.08863830566406,2,blue,DC
25.20416690185,51.57083240705003,245.81190490722656,1,red,AC nivo 2
25.19583356855,51.59583240695003,244.34832763671875,2,blue,DC
25.37916690115,51.49583240735003,242.62420654296875,2,blue,DC
25.35416690125,51.52916574055003,238.28427124023438,4,green,AC nivo 2
25.40416690105,51.40416574105003,234.80482482910156,1,red,AC nivo 2
25.21250023515,51.53749907385003,233.11277770996094,1,red,AC nivo 2
25.27916690155,51.58749907365003,232.82814025878906,2,blue,DC
25.33750023465,51.40416574105003,232.65257263183594,1,red,AC nivo 2
25.18750023525,51.55416574045003,232.4258575439453,2,blue,DC
25.37083356785,51.41249907435003,229.2906036376953,1,red,AC nivo 2
25.320833568050002,51.37083240785003,224.4756317138672,2,blue,DC
25.22083356845,51.57916574035003,223.9504852294922,1,red,AC nivo 2
25.33750023465,51.36249907455003,223.40896606445312,2,blue,DC
25.229166901750002,51.57916574035003,222.3434295654297,2,blue,DC
25.40416690105,51.49583240735003,220.83004760742188,3,yellow,Ultra brzi
25.19583356855,51.562499073750026,220.55197143554688,1,red,AC nivo 2
25.36250023455,51.48749907405003,220.18605041503906,2,blue,DC
25.18750023525,51.562499073750026,218.52975463867188,4,green,AC nivo 2
25.17916690195,51.50416574065003,218.31564331054688,1,red,AC nivo 2
25.387500234450002,51.47916574075003,217.55601501464844,3,yellow,Ultra brzi
25.36250023455,51.52916574055003,214.72315979003906,2,blue,DC
25.19583356855,51.58749907365003,211.25086975097656,4,green,AC nivo 2
25.412500234350002,51.37083240785003,208.98655700683594,2,blue,DC
25.37916690115,51.40416574105003,204.66522216796875,2,blue,DC
25.31250023475,51.50416574065003,201.9776153564453,2,blue,DC
25.22083356845,51.39583240775003,200.90672302246094,1,red,AC nivo 2
25.37916690115,51.38749907445003,199.7501678466797,1,red,AC nivo 2
25.37083356785,51.36249907455003,199.66400146484375,2,blue,DC
25.22083356845,51.512499073950025,198.48455810546875,1,red,AC nivo 2
25.37083356785,51.39583240775003,198.16259765625,2,blue,DC
25.37916690115,51.379165741150025,196.95498657226562,2,blue,DC
25.24583356835,51.35416574125003,194.98985290527344,1,red,AC nivo 2
25.37083356785,51.38749907445003,194.76138305664062,1,red,AC nivo 2
25.36250023455,51.55416574045003,194.32049560546875,3,yellow,Ultra brzi
25.18750023525,51.54583240715003,192.98941040039062,3,yellow,Ultra brzi
25.387500234450002,51.52916574055003,190.24720764160156,1,red,AC nivo 2
25.17916690195,51.35416574125003,189.89573669433594,2,blue,DC
25.387500234450002,51.379165741150025,189.18814086914062,1,red,AC nivo 2
25.162500235350002,51.612499073550026,184.5921173095703,2,blue,DC
25.17083356865,51.40416574105003,184.11111450195312,1,red,AC nivo 2
25.162500235350002,51.38749907445003,181.32545471191406,3,yellow,Ultra brzi
25.19583356855,51.38749907445003,181.1294708251953,3,yellow,Ultra brzi
25.27916690155,51.604165740250025,179.84092712402344,1,red,AC nivo 2
25.17916690195,51.39583240775003,175.49571228027344,2,blue,DC
25.37083356785,51.35416574125003,173.62130737304688,1,red,AC nivo 2
25.22083356845,51.520832407250026,171.68121337890625,1,red,AC nivo 2
25.17916690195,51.52916574055003,170.93943786621094,3,yellow,Ultra brzi
25.412500234350002,51.512499073950025,169.89427185058594,2,blue,DC
25.32916690135,51.40416574105003,169.158935546875,2,blue,DC
25.40416690105,51.38749907445003,169.11285400390625,2,blue,DC
25.23750023505,51.36249907455003,164.8538055419922,3,yellow,Ultra brzi
25.32916690135,51.36249907455003,164.1865997314453,1,red,AC nivo 2
25.18750023525,51.53749907385003,163.964599609375,2,blue,DC
25.18750023525,51.39583240775003,157.64662170410156,1,red,AC nivo 2
25.36250023455,51.562499073750026,154.22525024414062,2,blue,DC
25.19583356855,51.54583240715003,153.9014434814453,1,red,AC nivo 2
25.37083356785,51.562499073750026,150.59132385253906,1,red,AC nivo 2
25.387500234450002,51.36249907455003,149.01904296875,2,blue,DC
25.15416690205,51.38749907445003,148.37225341796875,1,red,AC nivo 2
25.31250023475,51.520832407250026,147.70138549804688,2,blue,DC
25.15416690205,51.49583240735003,147.2740020751953,2,blue,DC
25.35416690125,51.40416574105003,147.05670166015625,2,blue,DC
25.22083356845,51.562499073750026,145.39842224121094,2,blue,DC
25.35416690125,51.41249907435003,144.91598510742188,1,red,AC nivo 2
25.39583356775,51.37083240785003,141.77259826660156,1,red,AC nivo 2
25.28750023485,51.39583240775003,140.39324951171875,2,blue,DC
25.36250023455,51.54583240715003,139.77102661132812,4,green,AC nivo 2
25.412500234350002,51.470832407450025,138.48806762695312,1,red,AC nivo 2
25.27083356825,51.58749907365003,137.4679718017578,2,blue,DC
25.31250023475,51.512499073950025,136.99249267578125,2,blue,DC
25.229166901750002,51.58749907365003,136.6898956298828,3,yellow,Ultra brzi
25.40416690105,51.36249907455003,135.8533477783203,2,blue,DC
25.29583356815,51.37083240785003,132.84396362304688,1,red,AC nivo 2
25.412500234350002,51.38749907445003,132.1497344970703,1,red,AC nivo 2
25.34583356795,51.36249907455003,130.47555541992188,1,red,AC nivo 2
25.40416690105,51.46249907415003,127.39837646484375,1,red,AC nivo 2
25.229166901750002,51.37083240785003,122.63817596435547,2,blue,DC
25.37083356785,51.40416574105003,120.77977752685547,1,red,AC nivo 2
25.387500234450002,51.38749907445003,119.88969421386719,2,blue,DC
25.387500234450002,51.49583240735003,118.65181732177734,2,blue,DC
25.39583356775,51.50416574065003,118.23468017578125,1,red,AC nivo 2
25.37916690115,51.54583240715003,117.96572875976562,3,yellow,Ultra brzi
25.37083356785,51.53749907385003,117.1806640625,3,yellow,Ultra brzi
25.29583356815,51.36249907455003,114.49244689941406,1,red,AC nivo 2
25.39583356775,51.49583240735003,114.33724212646484,2,blue,DC
25.35416690125,51.35416574125003,111.94955444335938,1,red,AC nivo 2
25.28750023485,51.55416574045003,110.17317199707031,2,blue,DC
25.17916690195,51.40416574105003,109.30420684814453,1,red,AC nivo 2
25.37916690115,51.39583240775003,107.13080596923828,2,blue,DC
